,Genus,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Subpathway1,Subpathway2,Subpathway3,Subpathway4,Subpathway5,Subpathway6,MaxCompletion,Group,Type
31,AG-409-A19,1,0,1,0,0,1,0,0,0,0.5,0.5,0.25,0.5,0.333333333333333,0.333333333333333,0.5,Cyano-Other,MAG
32,AG-409-B05,0,0,1,0,0,0,0,0,1,0,0.25,0,0.5,0.333333333333333,0.666666666666667,0.666666666666667,Cyano-Other,MAG
33,AG-409-B13,0,0,1,0,1,1,0,0,1,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,Cyano-Other,MAG
34,AG-409-D09,1,0,1,0,0,1,0,0,0,0.5,0.5,0.25,0.5,0.333333333333333,0.333333333333333,0.5,Cyano-Other,MAG
35,AG-409-G20,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
36,AG-409-I11,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.75,0.333333333333333,0.666666666666667,0.75,Cyano-Other,MAG
37,AG-409-J16,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
38,AG-409-J19,0,0,1,0,0,1,0,1,1,0.5,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,Cyano-Other,MAG
39,AG-409-L14,1,0,1,0,0,1,0,0,1,0.5,0.75,0.25,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
40,AG-409-L18,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
41,AG-409-M05,0,0,1,0,1,1,0,0,1,0.25,0.5,0.5,0.75,0.333333333333333,0.666666666666667,0.75,Cyano-Other,MAG
42,AG-409-N21,1,0,1,0,0,1,0,0,1,0.5,0.75,0.25,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
43,AG-409-O23,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Other,MAG
44,AG-409-P01,0,0,1,0,0,1,0,0,1,0.25,0.5,0.25,0.75,0.333333333333333,0.666666666666667,0.75,Cyano-Other,MAG
45,AG-409-P03,0,0,1,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0,0.333333333333333,0.5,Cyano-Other,MAG
46,AG-410-N11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,MAG
47,AG-414-E02,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Pelagibacter,MAG
48,AG-422-B15,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Alpha-Other,MAG
49,AG-422-E19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gamma-SAR86,MAG
50,AG-426-I14,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0,0.333333333333333,0.333333333333333,Alpha-Other,MAG
51,AG-426-M11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloroflexota,MAG
52,AG-430-B22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alpha-Other,MAG
53,AG-432-D11,0,0,0,0,0,1,0,0,1,0.25,0.5,0.25,0.5,0.333333333333333,0.333333333333333,0.5,Cyano-Other,MAG
54,AG-463-P14,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0.25,Cyano-Other,MAG
55,ARS10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea-Other,MAG
56,ARS1013,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0.25,Chloroflexota,MAG
57,ARS103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea-Other,MAG
58,ARS1160,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0,0,0,0.25,Archaea-Other,MAG
59,ARS1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea-Other,MAG
60,ARS1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea-Other,MAG
61,ARS1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea-Other,MAG
62,ARS1301,0,0,1,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0,0.333333333333333,0.5,Archaea-Other,MAG
63,ARS1309,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0.25,Archaea-Other,MAG
64,ARS1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea-Other,MAG
65,ARS21,0,1,0,0,0,0,0,1,0,0.25,0,0.5,0,0,0,0.5,Archaea-Other,MAG
66,ARS23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea-Other,MAG
67,ASP10-02a,0,1,1,0,1,0,0,1,0,0.25,0,0.75,0.25,0,0.333333333333333,0.75,Gamma-Other,MAG
